de,            de_forms,                                                                      en,             en_expanded,          irregular, freq_percentile, de_expanded, de_examples, en_examples
müssen         ,müssen       ;muss             ;musste             ;hat#gemusst               ,have#to        ,                     ,true, 0.5,,,
nehmen         ,nehmen       ;nimmt            ;nahm               ;hat#genommen              ,take           ,                     ,true, 0.5,,,
nennen         ,nennen       ;nennt            ;nannte             ;hat#genannt               ,call           ,                     ,true, 0.5,,,
pfeifen        ,pfeifen      ;pfeift           ;pfiff              ;hat#gepfiffen             ,whistle        ,                     ,true, 0.5,,,
preisen        ,preisen      ;preist#          ;pries              ;hat#gepriesen             ,praise         ,                     ,true, 0.5,,,
quellen        ,quellen      ;quillt           ;quoll              ;ist#gequollen             ,swell          ,                     ,true, 0.5,,,
raten          ,raten        ;rät              ;riet               ;hat#geraten               ,recommend      ,                     ,true, 0.5,,,
reiben         ,reiben       ;reibt            ;rieb               ;hat#gerieben              ,rub            ,                     ,true, 0.5,,,
reißen         ,reißen       ;reißt            ;riss               ;hat/ist#gerissen          ,tear           ,                     ,true, 0.5,,,
reiten         ,reiten       ;reitet           ;ritt               ;hat/ist#geritten          ,horse#ride     ,                     ,true, 0.5,,,
rennen         ,rennen       ;rennt            ;rannte             ;ist#gerannt               ,run            ,                     ,true, 0.5,,,
riechen        ,riechen      ;riecht           ;roch               ;hat#gerochen              ,sniff          ,                     ,true, 0.5,,,
ringen         ,ringen       ;ringt            ;rang               ;hat#gerungen              ,wrestle        ,                     ,true, 0.5,,,
rinnen         ,rinnen       ;rinnt            ;rann               ;ist#geronnen              ,run#down       ,                     ,true, 0.5,,,
rufen          ,rufen        ;ruft             ;rief               ;hat#gerufen               ,scream/call    ,                     ,true, 0.5,,,
salzen         ,salzen       ;salzt            ;salzte             ;hat#gesalzen/gesalzt      ,salt           ,                     ,true, 0.5,,,
saufen         ,saufen       ;säuft            ;soff               ;hat#gesoffen              ,drink/booze    ,                     ,true, 0.5,,,
saugen         ,saugen       ;saugt            ;sog/saugte         ;hat#gesogen/gesaugt       ,suck           ,                     ,true, 0.5,,,
schaffen       ,schaffen     ;schafft          ;schuf              ;hat#geschaffen            ,create         ,                     ,true, 0.5,,,
scheiden       ,scheiden     ;scheidet         ;schied             ;hat/ist#geschieden        ,separate       ,                     ,true, 0.5,,,
